"Cluster","Question","Total sec","No. of Regions","Total sec on 'kod'","Total sec on 'odgovori'","Total sec on 'pitanje'","Total sec on 'pitanje-kod'","Total sec on 'prazno'","Total sec on 'prethodno'","Total sec on 'sledece'","No. Regions of 'kod'","No. Regions of 'odgovori'","No. Regions of 'pitanje'","No. Regions of 'pitanje-kod'","No. Regions of 'prazno'","No. Regions of 'prethodno'","No. Regions of 'sledece'","Mean sec on 'kod'","Mean sec on 'odgovori'","Mean sec on 'pitanje'","Mean sec on 'pitanje-kod'","Mean sec on 'prazno'","Mean sec on 'prethodno'","Mean sec on 'sledece'","Top region before 'kod'","Top region before 'odgovori'","Top region before 'pitanje'","Top region before 'pitanje-kod'","Top region before 'prazno'","Top region before 'prethodno'","Top region before 'sledece'","Top region after 'kod'","Top region after 'odgovori'","Top region after 'pitanje'","Top region after 'pitanje-kod'","Top region after 'prazno'","Top region after 'prethodno'","Top region after 'sledece'"
"6","T2_K_Q27",19.7,4,15.3,3.2,0.0,0.0,0.0,0.5,0.7,1,1,0,0,0,1,1,15.3,3.2,0.0,0.0,0.0,0.5,0.7,5,0,-1,-1,-1,-1,1,1,6,-1,-1,-1,0,-1
"7","T1_B_Q5",21.999999999999996,11,12.500000000000002,7.6000000000000005,0.0,0.0,0.0,1.2000000000000002,0.7,4,4,0,0,0,2,1,3.125,1.9,0.0,0.0,0.0,0.6000000000000001,0.7,1,0,-1,-1,-1,1,5,1,0,-1,-1,-1,0,-1
"7","T1_K_Q3",31.6,10,17.6,12.5,0.0,0.0,0.0,0.6,0.9,4,4,0,0,0,1,1,4.3999999999999995,3.125,0.0,0.0,0.0,0.6,0.9,1,0,-1,-1,-1,1,5,1,0,-1,-1,-1,6,-1
"7","T1_K_Q5",20.200000000000003,11,10.200000000000001,8.5,0.0,0.0,0.0,0.5,1.0,4,5,0,0,0,1,1,2.55,1.7,0.0,0.0,0.0,0.5,1.0,1,0,-1,-1,-1,1,5,1,0,-1,-1,-1,6,-1
"7","T1_S_Q5",27.200000000000003,10,14.900000000000002,7.9,2.2,0.0,0.0,0.3,1.9,4,3,1,0,0,1,1,3.725,2.6333333333333333,2.2,0.0,0.0,0.3,1.9,1,0,0,-1,-1,1,5,1,0,0,-1,-1,6,-1
"7","T2_B_Q7",36.4,12,15.8,17.299999999999997,2.5,0.0,0.0,0.4,0.4,5,2,3,0,0,1,1,3.16,8.649999999999999,0.8333333333333333,0.0,0.0,0.4,0.4,2,0,0,-1,-1,1,5,2,0,0,-1,-1,6,-1
"8","T1_M_Q3",29.100000000000005,24,17.9,7.799999999999999,0.8,1.2,0.0,0.0,1.4,11,8,2,1,0,0,2,1.6272727272727272,0.975,0.4,1.2,0.0,0.0,0.7,1,0,0,0,-1,-1,0,1,0,0,0,-1,-1,1
"8","T1_M_Q4",23.7,14,12.3,9.6,0.0,0.0,1.1,0.3,0.4,5,5,0,0,2,1,1,2.46,1.92,0.0,0.0,0.55,0.3,0.4,1,0,-1,-1,1,-1,1,1,0,-1,-1,0,4,-1
"8","T1_M_Q5",25.900000000000002,14,12.1,11.2,1.3,0.0,0.0,0.0,1.3,7,4,2,0,0,0,1,1.7285714285714286,2.8,0.65,0.0,0.0,0.0,1.3,1,0,0,-1,-1,-1,0,1,0,0,-1,-1,-1,-1
"8","T2_B_Q6",56.699999999999996,30,24.8,22.0,7.0,0.7,0.0,1.0,1.2000000000000002,11,7,6,2,0,2,2,2.2545454545454544,3.142857142857143,1.1666666666666667,0.35,0.0,0.5,0.6000000000000001,1,0,0,2,-1,0,1,1,0,0,2,-1,0,0
